scene,view,objA,objB,same,plane_step_mm,plane_step_rel,plane_step_reldepth,plane_step_relrange,region_diff_mm,tall
stack5_scene0001,view_el45_az135,cracker_box,master_chef_can,0,56.8,3.39,100.2,0.5,191.5,1
stack5_scene0001,view_el45_az135,cracker_box,master_chef_can,0,162.1,10.19,279.33,1.4,144.6,1
stack5_scene0001,view_el45_az135,cracker_box,cracker_box,1,1.0,0.32,1.91,0.01,60.0,1
stack5_scene0001,view_el45_az135,cracker_box,master_chef_can,0,144.7,21.49,226.2,1.53,93.5,1
stack5_scene0001,view_el45_az135,cracker_box,master_chef_can,0,38.7,1.84,66.07,0.5,107.7,1
stack5_scene0001,view_el45_az135,cracker_box,cracker_box,1,3.7,1.42,7.94,0.05,48.5,1
stack5_scene0001,view_el45_az135,flat_screwdriver,flat_screwdriver,1,3.0,0.53,4.19,0.05,61.5,1
stack5_scene0001,view_el45_az135,master_chef_can,master_chef_can,1,13.5,0.57,20.99,0.19,23.9,1
stack5_scene0001,view_el45_az225,master_chef_can,flat_screwdriver,0,250.4,16.45,421.22,3.05,221.6,1
stack5_scene0001,view_el45_az225,master_chef_can,flat_screwdriver,0,251.0,16.96,422.11,3.06,220.1,1
stack5_scene0001,view_el45_az225,master_chef_can,master_chef_can,1,18.0,1.73,39.99,0.24,30.1,1
stack5_scene0001,view_el45_az225,master_chef_can,flat_screwdriver,0,222.5,30.77,365.52,3.14,237.8,1
stack5_scene0001,view_el45_az225,master_chef_can,flat_screwdriver,0,222.6,32.71,365.61,3.14,236.3,1
stack5_scene0001,view_el45_az225,cracker_box,cracker_box,1,2.4,0.64,4.61,0.03,8.2,1
stack5_scene0001,view_el45_az225,cracker_box,cracker_box,1,2.0,0.7,3.88,0.03,1.0,1
stack5_scene0001,view_el45_az225,cracker_box,cracker_box,1,0.5,0.24,1.02,0.01,26.6,1
stack5_scene0001,view_el45_az225,cracker_box,cracker_box,1,2.2,0.59,4.06,0.05,35.4,1
stack5_scene0001,view_el60_az180,master_chef_can,master_chef_can,1,14.5,1.45,27.58,0.2,41.8,1
stack5_scene0001,view_el60_az180,cracker_box,cracker_box,1,1.2,0.34,2.39,0.01,29.2,1
stack5_scene0001,view_el60_az195,cracker_box,cracker_box,1,206.7,3.75,502.99,1.23,102.9,1
stack5_scene0001,view_el60_az195,cracker_box,flat_screwdriver,0,282.5,9.69,489.49,2.06,217.6,1
